,smiles,split,indices
0,Oc1cccc2ncccc12,train,
1,COc1ccc(N)c(C)c1,train,
2,CC(=O)C(=O)C,train,
3,CC1=CN(CC(O)CN=N#N)C(=O)NC1=O,train,
4,C[C@@H](O)c1cc2ccc3cccc4ccc(c1)c2c34,train,
5,O=C(Nc1ccccc1)Nc2ccccc2,train,
6,OCCN(CCO)c1ccc(cc1)N=Nc2ccc(cc2C#N)[N+](=O)[O-],train,
7,CC(C)[C@@H]1NC(=O)[C@@H](NC(=O)C2=C(N)C(=O)C(=C3Oc4c(C)ccc(C(=O)N[C@H]5[C@@H](C)OC(=O)[C@@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]6CCCN6C(=O)[C@@H](NC5=O)C(C)C)c4N=C23)C)[C@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]7CCCN7C1=O,train,
8,[O-][N+](=O)c1oc(\C=C\C=O)cc1,train,
9,Oc1ccc(CCC(=O)c2c(O)cc(O)cc2O)cc1,train,
10,C[C@@H]1CCCC[C@H]1NC(=O)Nc2ccccc2,train,
11,O=Nc1c2ccccc2c3ccc4cccc5ccc1c3c45,train,
12,ClC(=C1OC(=O)C(=C1Cl)Cl)Cl,train,
13,COc1cc(C)cc2C(=O)C(=CC(=O)c12)c3c(C)cc4C(=O)C=CC(=O)c4c3OC,train,
14,[O-][N+](=O)c1ccc2nscc2c1,train,
15,CC12OC1C3CCCCC3c4ccccc24,train,
16,Oc1ccc2[nH]ccc2c1,train,
17,CCN(CCCl)CCCNc1c2ccc(Cl)cc2nc3ccc(OC)nc13,train,
18,[O-][N+](=O)c1ccc(c2ccc(c(c2)[N+](=O)[O-])[N+](=O)[O-])c(c1)[N+](=O)[O-],train,
19,CCCCCCNC(=O)N1C=C(F)C(=O)NC1=O,train,
20,Nc1ccc(cc1)c2ccccc2,train,
21,C[n+]1c2ccccc2nc3ccccc13,train,
22,N1C2C1c3ccccc3c4ccccc24,train,
23,CN1CCN(CC1)c2c(F)cc3C(=O)C(=CN4N(C)COc2c34)C(=O)O,train,
24,CO\N=C(/C(=O)NC1C2SCC(=C(N2C1=O)C(=O)O)CSC(=O)c3occc3)\c4csc(N)n4,train,
25,O=Cc1cccc(c1)c2ccccc2,train,
26,CC(C)CCCC(C)C1CCC2C3CC4OC45CC(O)CCC5(C)C3CCC12C,train,
27,CC(=O)CCOOCCC(=O)C,train,
28,Cc1ccc(C)c(c1)[N+](=O)[O-],train,
